Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
1552_TRI677_A_R7_1of2_Timo_1x1_d_c,1552,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,d,c
1553_TRI677_A_R7_1of2_Timo_1x1_l_c,1553,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,l,c
1554_TRI677_A_R7_1of2_Timo_1x1_p_c,1554,Nikon,1x,1,TRI677,A,R7,Mid,1of2,External,Timo,p,c
1555_TRI677_A_R7_2of2_Timo_1x1_d_c,1555,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,d,c
1556_TRI677_A_R7_2of2_Timo_1x1_l_c,1556,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,l,c
1557_TRI677_A_R7_2of2_Timo_1x1_p_c,1557,Nikon,1x,1,TRI677,A,R7,Mid,2of2,External,Timo,p,c
1558_TRI677_A_R8_2of2_Timo_1x1_d_c,1558,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,d,c
1559_TRI677_A_R8_2of2_Timo_1x1_l_c,1559,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,l,c
1560_TRI677_A_R8_2of2_Timo_1x1_p_c,1560,Nikon,1x,1,TRI677,A,R8,Mid,2of2,External,Timo,p,c
1561_TRI677_A_R13_1of2_Timo_1x1_d_c,1561,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,d,c
1562_TRI677_A_R13_1of2_Timo_1x1_l_c,1562,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,l,c
1563_TRI677_A_R13_1of2_Timo_1x1_p_c,1563,Nikon,1x,1,TRI677,A,R13,Top,1of2,External,Timo,p,c
1564_TRI677_A_R13_2of2_Timo_1x1_d_c,1564,Nikon,1x,1,TRI677,A,R13,Top,2of2,External,Timo,d,c
1565_TRI677_A_R13_2of2_Timo_1x1_l_c,1565,Nikon,1x,1,TRI677,A,R13,Top,2of2,External,Timo,l,c
1566_TRI677_A_R13_2of2_Timo_1x1_p_c,1566,Nikon,1x,1,TRI677,A,R13,Top,2of2,External,Timo,p,c
1567_TRI677_A_R14_1of1_Timo_1x1_d_c,1567,Nikon,1x,1,TRI677,A,R14,Top,1of1,Solo,Timo,d,c
1568_TRI677_A_R14_1of1_Timo_1x1_l_c,1568,Nikon,1x,1,TRI677,A,R14,Top,1of1,Solo,Timo,l,c
1569_TRI677_A_R14_1of1_Timo_1x1_p_c,1569,Nikon,1x,1,TRI677,A,R14,Top,1of1,Solo,Timo,p,c
1759_TRI677_B_R1_1of2_Timo_1x1_d_c,1759,Nikon,1x,1,TRI677,B,R1,Base,1of2,External,Timo,d,c
1760_TRI677_B_R1_1of2_Timo_1x1_l_c,1760,Nikon,1x,1,TRI677,B,R1,Base,1of2,External,Timo,l,c
1761_TRI677_B_R1_1of2_Timo_1x1_p_c,1761,Nikon,1x,1,TRI677,B,R1,Base,1of2,External,Timo,p,c
1762_TRI677_B_R1_2of2_Timo_1x1_d_c,1762,Nikon,1x,1,TRI677,B,R1,Base,2of2,External,Timo,d,c
1763_TRI677_B_R1_2of2_Timo_1x1_l_c,1763,Nikon,1x,1,TRI677,B,R1,Base,2of2,External,Timo,l,c
1764_TRI677_B_R1_2of2_Timo_1x1_p_c,1764,Nikon,1x,1,TRI677,B,R1,Base,2of2,External,Timo,p,c
1765_TRI677_B_R2_1of2_Timo_1x1_d_c,1765,Nikon,1x,1,TRI677,B,R2,Base,1of2,External,Timo,d,c
1766_TRI677_B_R2_1of2_Timo_1x1_l_c,1766,Nikon,1x,1,TRI677,B,R2,Base,1of2,External,Timo,l,c
1767_TRI677_B_R2_1of2_Timo_1x1_p_c,1767,Nikon,1x,1,TRI677,B,R2,Base,1of2,External,Timo,p,c
1768_TRI677_B_R6_1of2_Timo_1x1_d_c,1768,Nikon,1x,1,TRI677,B,R6,Mid,1of2,External,Timo,d,c
1769_TRI677_B_R6_1of2_Timo_1x1_l_c,1769,Nikon,1x,1,TRI677,B,R6,Mid,1of2,External,Timo,l,c
1770_TRI677_B_R6_1of2_Timo_1x1_p_c,1770,Nikon,1x,1,TRI677,B,R6,Mid,1of2,External,Timo,p,c
1771_TRI677_B_R6_2of2_Timo_1x1_d_c,1771,Nikon,1x,1,TRI677,B,R6,Mid,2of2,External,Timo,d,c
1772_TRI677_B_R6_2of2_Timo_1x1_l_c,1772,Nikon,1x,1,TRI677,B,R6,Mid,2of2,External,Timo,l,c
1773_TRI677_B_R6_2of2_Timo_1x1_p_c,1773,Nikon,1x,1,TRI677,B,R6,Mid,2of2,External,Timo,p,c
1774_TRI677_B_R7_2of2_Timo_1x1_d_c,1774,Nikon,1x,1,TRI677,B,R7,Mid,2of2,External,Timo,d,c
1775_TRI677_B_R7_2of2_Timo_1x1_l_c,1775,Nikon,1x,1,TRI677,B,R7,Mid,2of2,External,Timo,l,c
1776_TRI677_B_R7_2of2_Timo_1x1_p_c,1776,Nikon,1x,1,TRI677,B,R7,Mid,2of2,External,Timo,p,c
1777_TRI677_B_R9_1of2_Timo_1x1_d_c,1777,Nikon,1x,1,TRI677,B,R9,Top,1of2,External,Timo,d,c
1778_TRI677_B_R9_1of2_Timo_1x1_l_c,1778,Nikon,1x,1,TRI677,B,R9,Top,1of2,External,Timo,l,c
1779_TRI677_B_R9_1of2_Timo_1x1_p_c,1779,Nikon,1x,1,TRI677,B,R9,Top,1of2,External,Timo,p,c
1780_TRI677_B_R10_1of1_Timo_1x1_d_c,1780,Nikon,1x,1,TRI677,B,R10,Top,1of1,Solo,Timo,d,c
1781_TRI677_B_R10_1of1_Timo_1x1_l_c,1781,Nikon,1x,1,TRI677,B,R10,Top,1of1,Solo,Timo,l,c
1782_TRI677_B_R10_1of1_Timo_1x1_p_c,1782,Nikon,1x,1,TRI677,B,R10,Top,1of1,Solo,Timo,p,c
1783_TRI677_B_R11_1of1_Timo_1x1_d_c,1783,Nikon,1x,1,TRI677,B,R11,Top,1of1,Solo,Timo,d,c
1784_TRI677_B_R11_1of1_Timo_1x1_l_c,1784,Nikon,1x,1,TRI677,B,R11,Top,1of1,Solo,Timo,l,c
1785_TRI677_B_R11_1of1_Timo_1x1_p_c,1785,Nikon,1x,1,TRI677,B,R11,Top,1of1,Solo,Timo,p,c
1786_TRI677_C_R1_1of2_Timo_1x1_d_c,1786,Nikon,1x,1,TRI677,C,R1,Base,1of2,External,Timo,d,c
1787_TRI677_C_R1_1of2_Timo_1x1_l_c,1787,Nikon,1x,1,TRI677,C,R1,Base,1of2,External,Timo,l,c
1788_TRI677_C_R1_1of2_Timo_1x1_p_c,1788,Nikon,1x,1,TRI677,C,R1,Base,1of2,External,Timo,p,c
1789_TRI677_C_R1_2of2_Timo_1x1_d_c,1789,Nikon,1x,1,TRI677,C,R1,Base,2of2,External,Timo,d,c
1790_TRI677_C_R1_2of2_Timo_1x1_l_c,1790,Nikon,1x,1,TRI677,C,R1,Base,2of2,External,Timo,l,c
1791_TRI677_C_R1_2of2_Timo_1x1_p_c,1791,Nikon,1x,1,TRI677,C,R1,Base,2of2,External,Timo,p,c
1792_TRI677_C_R2_2of2_Timo_1x1_d_c,1792,Nikon,1x,1,TRI677,C,R2,Base,2of2,External,Timo,d,c
1793_TRI677_C_R2_2of2_Timo_1x1_l_c,1793,Nikon,1x,1,TRI677,C,R2,Base,2of2,External,Timo,l,c
1794_TRI677_C_R2_2of2_Timo_1x1_p_c,1794,Nikon,1x,1,TRI677,C,R2,Base,2of2,External,Timo,p,c
1795_TRI677_C_R7_1of2_Timo_1x1_d_c,1795,Nikon,1x,1,TRI677,C,R7,Mid,1of2,External,Timo,d,c
1796_TRI677_C_R7_1of2_Timo_1x1_l_c,1796,Nikon,1x,1,TRI677,C,R7,Mid,1of2,External,Timo,l,c
1797_TRI677_C_R7_1of2_Timo_1x1_p_c,1797,Nikon,1x,1,TRI677,C,R7,Mid,1of2,External,Timo,p,c
1798_TRI677_C_R7_2of2_Timo_1x1_d_c,1798,Nikon,1x,1,TRI677,C,R7,Mid,2of2,External,Timo,d,c
1799_TRI677_C_R7_2of2_Timo_1x1_l_c,1799,Nikon,1x,1,TRI677,C,R7,Mid,2of2,External,Timo,l,c
1800_TRI677_C_R7_2of2_Timo_1x1_p_c,1800,Nikon,1x,1,TRI677,C,R7,Mid,2of2,External,Timo,p,c
1801_TRI677_C_R8_1of2_Timo_1x1_d_c,1801,Nikon,1x,1,TRI677,C,R8,Mid,1of2,External,Timo,d,c
1802_TRI677_C_R8_1of2_Timo_1x1_l_c,1802,Nikon,1x,1,TRI677,C,R8,Mid,1of2,External,Timo,l,c
1803_TRI677_C_R8_1of2_Timo_1x1_p_c,1803,Nikon,1x,1,TRI677,C,R8,Mid,1of2,External,Timo,p,c
1804_TRI677_C_R13_1of2_Timo_1x1_d_c,1804,Nikon,1x,1,TRI677,C,R13,Top,1of2,External,Timo,d,c
1805_TRI677_C_R13_1of2_Timo_1x1_l_c,1805,Nikon,1x,1,TRI677,C,R13,Top,1of2,External,Timo,l,c
1806_TRI677_C_R13_1of2_Timo_1x1_p_c,1806,Nikon,1x,1,TRI677,C,R13,Top,1of2,External,Timo,p,c
1807_TRI677_C_R13_2of2_Timo_1x1_d_c,1807,Nikon,1x,1,TRI677,C,R13,Top,2of2,External,Timo,d,c
1808_TRI677_C_R13_2of2_Timo_1x1_l_c,1808,Nikon,1x,1,TRI677,C,R13,Top,2of2,External,Timo,l,c
1809_TRI677_C_R13_2of2_Timo_1x1_p_c,1809,Nikon,1x,1,TRI677,C,R13,Top,2of2,External,Timo,p,c
1810_TRI677_C_R14_1of1_Timo_1x1_d_c,1810,Nikon,1x,1,TRI677,C,R14,Top,1of1,Solo,Timo,d,c
1811_TRI677_C_R14_1of1_Timo_1x1_l_c,1811,Nikon,1x,1,TRI677,C,R14,Top,1of1,Solo,Timo,l,c
1812_TRI677_C_R14_1of1_Timo_1x1_p_c,1812,Nikon,1x,1,TRI677,C,R14,Top,1of1,Solo,Timo,p,c
1867_T1160001_A_R1_2of2_Timo_1x1_d_c,1867,Nikon,1x,1,T1160001,A,R1,Base,2of2,External,Timo,d,c
1868_T1160001_A_R1_2of2_Timo_1x1_l_c,1868,Nikon,1x,1,T1160001,A,R1,Base,2of2,External,Timo,l,c
1869_T1160001_A_R1_2of2_Timo_1x1_p_c,1869,Nikon,1x,1,T1160001,A,R1,Base,2of2,External,Timo,p,c
1870_T1160001_A_R2_1of2_Timo_1x1_d_c,1870,Nikon,1x,1,T1160001,A,R2,Base,1of2,External,Timo,d,c
1871_T1160001_A_R2_1of2_Timo_1x1_l_c,1871,Nikon,1x,1,T1160001,A,R2,Base,1of2,External,Timo,l,c
1872_T1160001_A_R2_1of2_Timo_1x1_p_c,1872,Nikon,1x,1,T1160001,A,R2,Base,1of2,External,Timo,p,c
1873_T1160001_A_R2_2of2_Timo_1x1_d_c,1873,Nikon,1x,1,T1160001,A,R2,Base,2of2,External,Timo,d,c
1874_T1160001_A_R2_2of2_Timo_1x1_l_c,1874,Nikon,1x,1,T1160001,A,R2,Base,2of2,External,Timo,l,c
1875_T1160001_A_R2_2of2_Timo_1x1_p_c,1875,Nikon,1x,1,T1160001,A,R2,Base,2of2,External,Timo,p,c
1876_T1160001_A_R11_1of2_Timo_1x1_d_c,1876,Nikon,1x,1,T1160001,A,R11,Mid,1of2,External,Timo,d,c
1877_T1160001_A_R11_1of2_Timo_1x1_l_c,1877,Nikon,1x,1,T1160001,A,R11,Mid,1of2,External,Timo,l,c
1878_T1160001_A_R11_1of2_Timo_1x1_p_c,1878,Nikon,1x,1,T1160001,A,R11,Mid,1of2,External,Timo,p,c
1879_T1160001_A_R11_2of2_Timo_1x1_d_c,1879,Nikon,1x,1,T1160001,A,R11,Mid,2of2,External,Timo,d,c
1880_T1160001_A_R11_2of2_Timo_1x1_l_c,1880,Nikon,1x,1,T1160001,A,R11,Mid,2of2,External,Timo,l,c
1881_T1160001_A_R11_2of2_Timo_1x1_p_c,1881,Nikon,1x,1,T1160001,A,R11,Mid,2of2,External,Timo,p,c
1882_T1160001_A_R12_1of2_Timo_1x1_d_c,1882,Nikon,1x,1,T1160001,A,R12,Mid,1of2,External,Timo,d,c
1883_T1160001_A_R12_1of2_Timo_1x1_l_c,1883,Nikon,1x,1,T1160001,A,R12,Mid,1of2,External,Timo,l,c
1884_T1160001_A_R12_1of2_Timo_1x1_p_c,1884,Nikon,1x,1,T1160001,A,R12,Mid,1of2,External,Timo,p,c
1885_T1160001_A_R20_2of2_Timo_1x1_d_c,1885,Nikon,1x,1,T1160001,A,R20,Top,2of2,External,Timo,d,c
1886_T1160001_A_R20_2of2_Timo_1x1_l_c,1886,Nikon,1x,1,T1160001,A,R20,Top,2of2,External,Timo,l,c
1887_T1160001_A_R20_2of2_Timo_1x1_p_c,1887,Nikon,1x,1,T1160001,A,R20,Top,2of2,External,Timo,p,c
1888_T1160001_A_R21_1of1_Timo_1x1_d_c,1888,Nikon,1x,1,T1160001,A,R21,Top,1of1,Solo,Timo,d,c
1889_T1160001_A_R21_1of1_Timo_1x1_l_c,1889,Nikon,1x,1,T1160001,A,R21,Top,1of1,Solo,Timo,l,c
1890_T1160001_A_R21_1of1_Timo_1x1_p_c,1890,Nikon,1x,1,T1160001,A,R21,Top,1of1,Solo,Timo,p,c
1891_T1160001_A_R22_1of1_Timo_1x1_d_c,1891,Nikon,1x,1,T1160001,A,R22,Top,1of1,Solo,Timo,d,c
1892_T1160001_A_R22_1of1_Timo_1x1_l_c,1892,Nikon,1x,1,T1160001,A,R22,Top,1of1,Solo,Timo,l,c
1893_T1160001_A_R22_1of1_Timo_1x1_p_c,1893,Nikon,1x,1,T1160001,A,R22,Top,1of1,Solo,Timo,p,c
1894_T1160001_B_R1_1of2_Timo_1x1_d_c,1894,Nikon,1x,1,T1160001,B,R1,Base,1of2,External,Timo,d,c
1895_T1160001_B_R1_1of2_Timo_1x1_l_c,1895,Nikon,1x,1,T1160001,B,R1,Base,1of2,External,Timo,l,c
1896_T1160001_B_R1_1of2_Timo_1x1_p_c,1896,Nikon,1x,1,T1160001,B,R1,Base,1of2,External,Timo,p,c
1897_T1160001_B_R1_2of2_Timo_1x1_d_c,1897,Nikon,1x,1,T1160001,B,R1,Base,2of2,External,Timo,d,c
1898_T1160001_B_R1_2of2_Timo_1x1_l_c,1898,Nikon,1x,1,T1160001,B,R1,Base,2of2,External,Timo,l,c
1899_T1160001_B_R1_2of2_Timo_1x1_p_c,1899,Nikon,1x,1,T1160001,B,R1,Base,2of2,External,Timo,p,c
1900_T1160001_B_R2_1of2_Timo_1x1_d_c,1900,Nikon,1x,1,T1160001,B,R2,Base,1of2,External,Timo,d,c
1901_T1160001_B_R2_1of2_Timo_1x1_l_c,1901,Nikon,1x,1,T1160001,B,R2,Base,1of2,External,Timo,l,c
1902_T1160001_B_R2_1of2_Timo_1x1_p_c,1902,Nikon,1x,1,T1160001,B,R2,Base,1of2,External,Timo,p,c
1903_T1160001_B_R10_1of2_Timo_1x1_d_c,1903,Nikon,1x,1,T1160001,B,R10,Mid,1of2,External,Timo,d,c
1904_T1160001_B_R10_1of2_Timo_1x1_l_c,1904,Nikon,1x,1,T1160001,B,R10,Mid,1of2,External,Timo,l,c
1905_T1160001_B_R10_1of2_Timo_1x1_p_c,1905,Nikon,1x,1,T1160001,B,R10,Mid,1of2,External,Timo,p,c
1906_T1160001_B_R10_2of2_Timo_1x1_d_c,1906,Nikon,1x,1,T1160001,B,R10,Mid,2of2,External,Timo,d,c
1907_T1160001_B_R10_2of2_Timo_1x1_l_c,1907,Nikon,1x,1,T1160001,B,R10,Mid,2of2,External,Timo,l,c
1908_T1160001_B_R10_2of2_Timo_1x1_p_c,1908,Nikon,1x,1,T1160001,B,R10,Mid,2of2,External,Timo,p,c
1909_T1160001_B_R11_2of2_Timo_1x1_d_c,1909,Nikon,1x,1,T1160001,B,R11,Mid,2of2,External,Timo,d,c
1910_T1160001_B_R11_2of2_Timo_1x1_l_c,1910,Nikon,1x,1,T1160001,B,R11,Mid,2of2,External,Timo,l,c
1911_T1160001_B_R11_2of2_Timo_1x1_p_c,1911,Nikon,1x,1,T1160001,B,R11,Mid,2of2,External,Timo,p,c
1912_T1160001_B_R18_1of1_Timo_1x1_d_c,1912,Nikon,1x,1,T1160001,B,R18,Top,1of1,Solo,Timo,d,c
