Filename,Identifier,Microscope,Objective,Mag,Accession,EarBundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
7366_T1150003_VB7_Mid_1of2_Tara_1x1_d_uc,7366,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,d,uc
7367_T1150003_VB7_Mid_1of2_Tara_1x1_l_uc,7367,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,l,uc
7368_T1150003_VB7_Mid_1of2_Tara_1x1_p_uc,7368,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,p,uc
7369_T1150003_VB7_Mid_2of2_Tara_1x1_d_uc,7369,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,d,uc
7370_T1150003_VB7_Mid_2of2_Tara_1x1_l_uc,7370,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,l,uc
7371_T1150003_VB7_Mid_2of2_Tara_1x1_p_uc,7371,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,p,uc
7372_T1150003_VB7_Mid_1of2_Tara_1x1_d_uc,7372,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,d,uc
7373_T1150003_VB7_Mid_1of2_Tara_1x1_l_uc,7373,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,l,uc
7374_T1150003_VB7_Mid_1of2_Tara_1x1_p_uc,7374,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,p,uc
7375_T1150003_VB7_Mid_2of2_Tara_1x1_d_uc,7375,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,d,uc
7376_T1150003_VB7_Mid_2of2_Tara_1x1_l_uc,7376,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,l,uc
7377_T1150003_VB7_Mid_2of2_Tara_1x1_p_uc,7377,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,p,uc
7378_T1150003_VB7_Mid_1of2_Tara_1x1_d_uc,7378,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,d,uc
7379_T1150003_VB7_Mid_1of2_Tara_1x1_l_uc,7379,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,l,uc
7380_T1150003_VB7_Mid_1of2_Tara_1x1_p_uc,7380,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,p,uc
7381_T1150003_VB7_Mid_2of2_Tara_1x1_d_uc,7381,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,d,uc
7382_T1150003_VB7_Mid_2of2_Tara_1x1_l_uc,7382,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,l,uc
7383_T1150003_VB7_Mid_2of2_Tara_1x1_p_uc,7383,Nikon,1x,1,T1150003,VB7,,Mid,2of2,External,Tara,p,uc
7384_T1150003_VB7_Mid_1of2_Tara_1x1_d_uc,7384,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,d,uc
7385_T1150003_VB7_Mid_1of2_Tara_1x1_l_uc,7385,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,l,uc
7386_T1150003_VB7_Mid_1of2_Tara_1x1_p_uc,7386,Nikon,1x,1,T1150003,VB7,,Mid,1of2,External,Tara,p,uc
7387_T1150003_-_Top_1of2_Tara_1x1_d_uc,7387,Nikon,1x,1,T1150003,-,,Top,1of2,External,Tara,d,uc
7388_T1150003_-_Top_1of2_Tara_1x1_l_uc,7388,Nikon,1x,1,T1150003,-,,Top,1of2,External,Tara,l,uc
7389_T1150003_-_Top_1of2_Tara_1x1_p_uc,7389,Nikon,1x,1,T1150003,-,,Top,1of2,External,Tara,p,uc
7390_T1150003_-_Top_2of2_Tara_1x1_d_uc,7390,Nikon,1x,1,T1150003,-,,Top,2of2,External,Tara,d,uc
7391_T1150003_-_Top_2of2_Tara_1x1_l_uc,7391,Nikon,1x,1,T1150003,-,,Top,2of2,External,Tara,l,uc
7392_T1150003_-_Top_2of2_Tara_1x1_p_uc,7392,Nikon,1x,1,T1150003,-,,Top,2of2,External,Tara,p,uc
7393_T1150003_-_Top_1of1_Tara_1x1_d_uc,7393,Nikon,1x,1,T1150003,-,,Top,1of1,Solo,Tara,d,uc
7394_T1150003_-_Top_1of1_Tara_1x1_l_uc,7394,Car,1x,1,T1150003,-,,Top,1of1,Solo,Tara,l,uc
7395_T1150003_-_Top_1of1_Tara_1x1_p_uc,7395,Nikon,1x,1,T1150003,-,,Top,1of1,Solo,Tara,p,uc
7396_T1150003_-_Top_1of1_Tara_1x1_d_uc,7396,Nikon,1x,1,T1150003,-,,Top,1of1,Solo,Tara,d,uc
7397_T1150003_-_Top_1of1_Tara_1x1_l_uc,7397,Nikon,1x,1,T1150003,-,,Top,1of1,Solo,Tara,l,uc
7398_T1150003_-_Top_1of1_Tara_1x1_p_uc,7398,Nikon,1x,1,T1150003,-,,Top,1of1,Solo,Tara,p,uc
7399_T1150003_VB2_Top_1of1_Tara_1x1_d_uc,7399,Nikon,1x,1,T1150003,VB2,,Top,1of1,Solo,Tara,d,uc
7400_T1150003_VB2_Top_1of1_Tara_1x1_l_uc,7400,Nikon,1x,1,T1150003,VB2,,Top,1of1,Solo,Tara,l,uc
7401_T1150003_VB2_Top_1of1_Tara_1x1_p_uc,7401,Nikon,1x,1,T1150003,VB2,,Top,1of1,Solo,Tara,p,uc
7402_T1150003_VB2_Top_1of1_Tara_1x1_d_uc,7402,Nikon,1x,1,T1150003,VB2,,Top,1of1,Solo,Tara,d,uc
7403_T1150003_VB2_Top_1of1_Tara_1x1_l_uc,7403,Nikon,1x,1,T1150003,VB2,,Top,1of1,Solo,Tara,l,uc
7404_T1150003_VB2_Top_1of1_Tara_1x1_p_uc,7404,Nikon,1x,1,T1150003,VB2,,Top,1of1,Solo,Tara,p,uc
7405_T1150003_VB3_Top_1of2_Tara_1x1_d_uc,7405,Nikon,1x,1,T1150003,VB3,,Top,1of2,External,Tara,d,uc
7406_T1150003_VB3_Top_1of2_Tara_1x1_l_uc,7406,Nikon,1x,1,T1150003,VB3,,Top,1of2,External,Tara,l,uc
7407_T1150003_VB3_Top_1of2_Tara_1x1_p_uc,7407,Nikon,1x,1,T1150003,VB3,,Top,1of2,External,Tara,p,uc
7408_T1150003_VB3_Top_2of2_Tara_1x1_d_uc,7408,Nikon,1x,1,T1150003,VB3,,Top,2of2,External,Tara,d,uc
7409_T1150003_VB3_Top_2of2_Tara_1x1_l_uc,7409,Nikon,1x,1,T1150003,VB3,,Top,2of2,External,Tara,l,uc
7410_T1150003_VB3_Top_2of2_Tara_1x1_p_uc,7410,Nikon,1x,1,T1150003,VB3,,Top,2of2,External,Tara,p,uc
7411_T1150003_VB3_Top_1of2_Tara_1x1_d_uc,7411,Nikon,1x,1,T1150003,VB3,,Top,1of2,External,Tara,d,uc
7412_T1150003_VB3_Top_1of2_Tara_1x1_l_uc,7412,Nikon,1x,1,T1150003,VB3,,Top,1of2,External,Tara,l,uc
7413_T1150003_VB3_Top_1of2_Tara_1x1_p_uc,7413,Nikon,1x,1,T1150003,VB3,,Top,1of2,External,Tara,p,uc
