A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
-0.100684513,-0.302206895,0.008881135,-0.014877463,-0.008710449,0.025636659,-0.015979868,0.018807397,-1.623619717,0.007349123,-0.138172996,-0.056032987,-0.013755005,-0.021660798,-0.009544424,-0.006050403,3.305529879,0.050097104,0.234989084,0.028963936,0.064122787,0.009325309,0.024132692,0.010533577,-0.264727821,0.097694047,-0.098428916,0.098417104,-0.059343675,0.053171842,-0.025713934,0.021648574
-0.094566085,-0.223144324,0.007105869,0.004606077,-0.018771747,0.026714306,-0.007709496,0.0015981,-1.466324185,-0.04866857,-0.098766454,-0.053155592,-0.023961951,0.00557538,-0.014810725,0.004169881,2.962397373,0.042069192,0.222512148,0.000764213,0.073626722,-0.004461205,0.022785384,0.015959841,-0.228706767,0.095167593,-0.100344829,0.086598655,-0.04905845,0.033551686,-0.013478355,0.011649928
-0.15198747,-0.237393012,0.012057846,0.003803645,-0.02159852,0.028052628,-0.013516973,0.006587371,-1.464141863,-0.055893703,-0.102311471,-0.056792838,-0.024641389,0.004895343,-0.015645188,0.009646808,2.981039482,0.038002445,0.223788251,0.000142509,0.072842252,-0.006671503,0.022357349,0.014999546,-0.26582846,0.09690181,-0.108192308,0.087751609,-0.053672882,0.03435866,-0.013190306,0.010260623
-0.149079407,-0.233083717,0.005845772,-0.002321965,-0.019054507,0.021080871,-0.013568015,0.008438932,-1.466739338,-0.028707827,-0.113943246,-0.046860281,-0.021588655,0.006395248,-0.008578577,0.003267051,2.951158404,0.029785153,0.216526007,0.009229123,0.060676085,0.003648455,0.019612573,0.016419721,-0.300168375,0.082099682,-0.103696626,0.077206099,-0.052734922,0.036616246,-0.018236751,0.012595274
-0.051543672,-0.231550599,0.039625817,0.011377762,-0.013668315,0.029480239,-0.012670267,0.007984244,-1.459863983,-0.077339145,-0.095086237,-0.054844858,-0.019617589,0.009217997,-0.016485592,0.00547566,2.93275761,0.034044854,0.228072305,-0.015454301,0.083315245,-0.018607967,0.029513566,0.005726734,-0.078311877,0.101426519,-0.068592947,0.09206589,-0.035683005,0.035411214,-0.004987664,0.014453436
-0.109284873,-0.242120055,0.018887113,0.007943308,-0.021413931,0.030456494,-0.018108194,0.007383876,-1.482582268,-0.072549436,-0.087235398,-0.066822046,-0.019124863,0.001310141,-0.010537505,0.005154434,3.001168084,0.040608012,0.229283983,-0.005604633,0.080651198,-0.013126934,0.027733206,0.009497904,-0.213042924,0.104063195,-0.0990438,0.094625299,-0.05046349,0.038465436,-0.011389514,0.015232278
-0.058673731,-0.225816045,-0.023541342,-0.004029956,0.001444577,0.033705056,0.004055701,0.009432056,-1.412090544,0.044727082,-0.075140424,-0.031521902,-0.014406132,-0.011579064,-0.029379292,-0.007512489,2.873902975,0.037569736,0.218737864,0.020448653,0.07904333,0.017110525,0.026341912,0.021773565,-0.228409812,0.100572609,-0.075706584,0.091791141,-0.034416289,0.034590079,-0.017725313,0.011898803
-0.077261259,-0.249975323,0.001265076,-0.002375638,-0.005004006,0.045944432,0.006215519,0.014615546,-1.403281993,0.014681802,-0.069610069,-0.043381112,-0.012751629,-0.006210183,-0.026008923,-0.007391721,2.867135255,0.034549698,0.220010599,0.008296213,0.086339591,0.006345965,0.032810922,0.016156943,-0.14930474,0.116363412,-0.062093773,0.106451351,-0.027871532,0.041931018,-0.011536376,0.014236997
-0.070044214,-0.252910725,-0.005067937,-0.002313354,-0.00299155,0.042290934,0.00359221,0.01375102,-1.391391793,0.02110153,-0.072491096,-0.041956742,-0.015153361,-0.007533808,-0.03183464,-0.007286321,2.852763222,0.036620828,0.218640659,0.010542246,0.084133437,0.007879668,0.029232379,0.01737993,-0.171309959,0.114384806,-0.06886594,0.103378932,-0.031400374,0.038601166,-0.012949127,0.012766553
-0.115645718,-0.251617981,-0.002621919,-0.000459609,-0.003484377,0.042568873,0.001990676,0.010230003,-1.410050484,0.014621905,-0.054057042,-0.050697886,-0.002238326,-0.009189677,-0.027510966,-0.003722308,2.840949473,0.04363515,0.212320912,0.016425011,0.086779322,0.00904424,0.033757015,0.01867051,-0.213780907,0.121388277,-0.079011783,0.110140147,-0.038983126,0.041842062,-0.015579845,0.011735569
-0.074013852,-0.250961955,-7.99E-06,0.000253298,-0.006586938,0.04537522,0.008564317,0.01227865,-1.40097773,0.012028775,-0.067411686,-0.043346423,-0.014877968,-0.003466587,-0.02736894,-0.008363477,2.866440202,0.031706974,0.222887458,0.00602912,0.086844032,0.007356608,0.031311638,0.016705242,-0.149860365,0.116712855,-0.061172824,0.104261777,-0.02530716,0.040242632,-0.011625877,0.015609375
